SearchDate,MonthYear,Institution,CellPhone,Cocaine,Hash,Heroin,Marijuana,Methamphetamine,Tobacco,Butane_Oil,Suboxone,Fentanyl,Total
Mar-18,03-2018,CRC,28,0,0,4,4,4,0,0,0,0,40
Mar-18,03-2018,CTF,18,0,0,3,1,3,1,0,0,0,26
Mar-18,03-2018,CVSP,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,DVI,1,0,0,0,3,3,0,1,0,0,8
Mar-18,03-2018,FOL,36,0,1,10,15,3,4,1,0,0,70
Mar-18,03-2018,HDSP,8,1,0,2,1,6,0,0,0,0,18
Mar-18,03-2018,ISP,18,0,0,3,1,2,0,0,0,0,24
Mar-18,03-2018,KVSP,29,0,0,13,9,15,2,0,0,0,68
Mar-18,03-2018,LAC,44,0,0,1,4,5,4,0,0,0,58
Mar-18,03-2018,MCSP,7,0,0,3,0,0,2,0,0,0,12
Mar-18,03-2018,NKSP,11,0,0,5,6,7,3,0,0,0,32
Mar-18,03-2018,PBSP,0,0,0,1,1,1,0,0,0,0,3
Mar-18,03-2018,PVSP,6,0,0,0,1,2,0,0,0,0,9
Mar-18,03-2018,RJD,8,1,0,2,6,1,2,0,0,0,20
Mar-18,03-2018,SAC,38,0,0,5,11,4,4,0,0,0,62
Mar-18,03-2018,SATF,16,1,0,2,3,5,2,1,0,0,30
Mar-18,03-2018,SCC,55,0,0,5,9,9,12,0,0,0,90
Mar-18,03-2018,SOL,37,0,1,3,5,2,2,1,0,0,51
Mar-18,03-2018,SQ,30,0,0,3,6,4,3,0,0,0,46
Mar-18,03-2018,SVSP,54,0,0,10,20,7,9,6,0,0,106
Mar-18,03-2018,VSP,5,0,0,2,1,0,8,0,0,0,16
Mar-18,03-2018,WSP,10,0,0,2,3,2,1,1,0,0,19
Apr-18,04-2018,ASP,7,0,0,4,0,0,0,0,0,0,11
Apr-18,04-2018,CAC,4,0,0,2,0,0,0,0,0,0,6
Apr-18,04-2018,CAL,63,0,0,7,2,1,0,0,0,0,73
Apr-18,04-2018,CCC,49,1,0,5,8,12,9,0,0,0,84
Apr-18,04-2018,CCI,8,0,0,0,0,1,1,0,0,0,10
Apr-18,04-2018,CCWF,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,CEN,29,0,0,4,5,1,1,0,0,0,40
Apr-18,04-2018,CHCF,3,0,0,0,0,2,3,0,0,0,8
Apr-18,04-2018,CIM,8,0,0,1,2,2,0,0,0,0,13
Apr-18,04-2018,CIW,4,0,0,0,0,1,0,0,0,0,5
Apr-18,04-2018,CMC,15,0,0,0,2,2,2,0,0,0,21
Apr-18,04-2018,CMF,15,0,0,2,11,2,2,1,0,0,33
Apr-18,04-2018,COR,20,0,0,1,9,3,5,0,0,0,38
Apr-18,04-2018,CRC,9,0,0,4,3,3,0,0,0,0,19
Apr-18,04-2018,CTF,16,0,0,1,1,0,0,0,0,0,18
Apr-18,04-2018,CVSP,0,0,0,0,0,0,2,0,0,0,2
Apr-18,04-2018,DVI,2,0,0,0,1,0,0,1,0,0,4
Apr-18,04-2018,FOL,25,0,0,4,13,2,2,0,0,0,46
Apr-18,04-2018,HDSP,7,0,0,6,3,6,0,2,0,0,24
Apr-18,04-2018,ISP,18,0,0,4,1,2,2,0,0,0,27
Apr-18,04-2018,KVSP,24,0,0,5,2,8,0,0,0,0,39
