SearchDate,MonthYear,Institution,Cocaine,Hash,Heroin,Marijuana,Methamphetamine,Butane_Oil,Suboxone,Fentanyl,Total
Oct-20,10-2020,HDSP,0.0,0.0,0.0,0.0,91.3,0.0,0.0,0.0,91.3
Oct-20,10-2020,ISP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oct-20,10-2020,KVSP,0.0,0.0,79.37,15.1,176.0,0.0,0.0,0.0,270.47
Oct-20,10-2020,LAC,0.12,0.0,17.17,13.55,19.97,0.0,0.0,0.0,50.81
Oct-20,10-2020,MCSP,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,51.0
Oct-20,10-2020,NKSP,0.0,0.0,0.0,0.0,10.6,0.0,0.0,0.0,10.6
Oct-20,10-2020,PBSP,3.4,0.0,30.6,8.5,55.9,0.0,0.0,0.0,98.4
Oct-20,10-2020,PVSP,0.0,0.0,1.59,0.0,106.65,0.0,0.32,0.0,108.56
Oct-20,10-2020,RJD,0.0,0.0,8.4,273.8,352.9,0.0,0.0,0.0,635.0999999999999
Oct-20,10-2020,SAC,0.0,0.0,0.0,8.13,250.66,46.53,32.0,0.0,337.32000000000005
Oct-20,10-2020,SATF,0.0,0.0,21.9,54.1,16.8,0.0,0.0,0.0,92.8
Oct-20,10-2020,SCC,0.0,0.0,0.0,109.5,55.9,0.0,2.0,0.0,167.4
Oct-20,10-2020,SOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oct-20,10-2020,SQ,0.0,0.0,0.0,371.52,261.78,0.0,11.18,0.0,644.4799999999999
Oct-20,10-2020,SVSP,0.0,0.0,67.44,1036.22,508.64000000000004,100.12,0.0,0.0,1712.42
Oct-20,10-2020,VSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oct-20,10-2020,WSP,0.0,0.0,0.25,0.0,28.09,0.0,0.7,0.0,29.04
Nov-20,11-2020,ASP,0.0,0.0,0.0,0.0,73.66,0.0,1.0,0.0,74.66
Nov-20,11-2020,CAC,0.0,0.0,85.2,57.8,44.1,0.0,0.0,0.0,187.1
Nov-20,11-2020,CAL,0.0,0.0,6.3,829.2,360.3,0.0,11.0,0.0,1206.8
Nov-20,11-2020,CCC,0.0,0.0,8.6,8.71,33.6,0.0,0.0,0.0,50.910000000000004
Nov-20,11-2020,CCI,0.0,0.0,1.5,0.0,163.6,0.0,0.7,0.0,165.79999999999998
Nov-20,11-2020,CCWF,0.0,0.0,78.1,37.1,160.1,0.0,0.0,0.0,275.29999999999995
Nov-20,11-2020,CEN,0.0,0.0,1.8,0.0,22.5,0.0,0.0,0.0,24.3
Nov-20,11-2020,CHCF,0.0,0.0,0.0,0.0,90.1,0.0,0.0,0.0,90.1
Nov-20,11-2020,CIM,0.0,0.0,0.0,86.7,3.2,0.0,0.01,0.0,89.91000000000001
Nov-20,11-2020,CIW,0.0,0.0,37.1,3.3,16.9,0.0,0.0,0.0,57.3
Nov-20,11-2020,CMC,0.0,0.0,0.7,0.0,0.1,0.0,0.01,0.0,0.8099999999999999
Nov-20,11-2020,CMF,0.0,0.0,0.0,1.15,7.7,0.0,0.0,0.0,8.85
Nov-20,11-2020,COR,0.0,0.0,17.3,39.88,27.21,0.0,0.0,0.0,84.39000000000001
Nov-20,11-2020,CRC,0.0,0.0,14.6,5.1,12.2,0.0,0.0,0.0,31.9
Nov-20,11-2020,CTF,0.0,0.0,26.4,0.33,4.3,0.0,1.4,0.0,32.43
Nov-20,11-2020,CVSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nov-20,11-2020,DVI,0.0,0.133,0.0,88.0,0.0,0.0,0.0,0.0,88.133
