SearchDate,MonthYear,Institution,CellPhone_Disc,CellPhone_Amnt,Cocaine_Disc,Cocaine_Amnt (Grams),Hash_Disc,Hash_Amnt (Grams),Heroin_Disc,Heroin_Amnt (Grams),Marijuana_Disc,Marijuana_Amnt (Grams),Methamphetamine_Disc,Methamphetamine_Amnt (Grams),Tobacco_Disc,Tobacco_Amnt (Grams),ButaneHoneyOil_Disc,ButaneHoneyOil_Amnt (Grams),Suboxone_Disc,Suboxone_Amnt (Grams),Fentanyl_Disc,Fentanyl_Amnt (Grams)
Feb-18,02-2018,DVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,FOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,HDSP,1,7,0,0,0,0,2,5.1,3,37.9,4,25.9,0,0,0,0,0,0,0,0
Feb-18,02-2018,ISP,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,KVSP,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,MCSP,0,0,0,0,0,0,0,0,0,0,0,0,1,198,0,0,0,0,0,0
Feb-18,02-2018,NKSP,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,PBSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,PVSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,RJD,5,11,0,0,0,0,2,13.9,1,59.2,0,0,1,0.4,0,0,0,0,0,0
Feb-18,02-2018,SAC,11,37,0,0,0,0,0,0,1,0.77,4,372.53,2,174.56,0,0,0,0,0,0
Feb-18,02-2018,SATF,10,54,0,0,0,0,1,3.4,0,0,2,82.6,6,132.3,0,0,0,0,0,0
Feb-18,02-2018,SCC,8,77,0,0,0,0,0,0,4,8.3,2,10,7,4086.6,0,0,0,0,0,0
Feb-18,02-2018,SOL,2,2,0,0,1,0.6,0,0,1,0.3,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,SQ,1,1,0,0,0,0,1,13.37,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,SVSP,1,2,0,0,0,0,1,4.13,0,0,1,16.9,0,0,0,0,0,0,0,0
Feb-18,02-2018,VSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,WSP,4,7,0,0,0,0,0,0,2,41.94,0,0,1,1.89,0,0,0,0,0,0
Mar-18,03-2018,ASP,1,2,0,0,0,0,0,0,0,0,0,0,1,49,0,0,0,0,0,0
Mar-18,03-2018,CAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,CAL,13,29,0,0,1,726,1,0.11,4,1314.41,0,0,1,1360.5,0,0,0,0,0,0
Mar-18,03-2018,CCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,CCI,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,CCWF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
