SearchDate,MonthYear,Institution,CellPhone_Disc,CellPhone_Amnt,Cocaine_Disc,Cocaine_Amnt (Grams),Hash_Disc,Hash_Amnt (Grams),Heroin_Disc,Heroin_Amnt (Grams),Marijuana_Disc,Marijuana_Amnt (Grams),Methamphetamine_Disc,Methamphetamine_Amnt (Grams),Tobacco_Disc,Tobacco_Amnt (Grams),ButaneHoneyOil_Disc,ButaneHoneyOil_Amnt (Grams),Suboxone_Disc,Suboxone_Amnt (Grams),Fentanyl_Disc,Fentanyl_Amnt (Grams)
Feb-18,02-2018,CRC,11,11,0,0,0,0,2,13.1,4,140.5,0,0,2,91,0,0,0,0,0,0
Feb-18,02-2018,CTF,12,13,0,0,0,0,4,13.57,2,0.48,4,22.15,2,39.54,0,0,0,0,0,0
Feb-18,02-2018,CVSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,DVI,2,18,0,0,0,0,2,1.6,0,0,2,74,0,0,0,0,0,0,0,0
Feb-18,02-2018,FOL,21,28,0,0,0,0,1,0.7,9,95.3,6,4.32,1,28.9,0,0,0,0,0,0
Feb-18,02-2018,HDSP,4,47,0,0,0,0,4,98,3,72.8,3,82.9,0,0,0,0,0,0,0,0
Feb-18,02-2018,ISP,12,16,0,0,0,0,1,0.1,0,0,2,14.48,1,33.56,0,0,0,0,0,0
Feb-18,02-2018,KVSP,17,77,0,0,0,0,6,549.3,3,154.9,10,343.1,1,176.3,0,0,0,0,0,0
Feb-18,02-2018,LAC,41,61,0,0,0,0,4,75.3,5,184.82,2,27,3,1282,0,0,0,0,0,0
Feb-18,02-2018,MCSP,7,7,0,0,0,0,1,4.2,1,0.2,5,33.2,0,0,1,7.8,0,0,0,0
Feb-18,02-2018,NKSP,22,33,0,0,0,0,4,32,3,110.9,5,37.7,3,565,0,0,0,0,0,0
Feb-18,02-2018,PBSP,3,3,0,0,0,0,3,0.202,0,0,1,0.5,1,0.3,0,0,0,0,0,0
Feb-18,02-2018,PVSP,3,3,0,0,0,0,0,0,0,0,1,63.74,0,0,0,0,0,0,0,0
Feb-18,02-2018,RJD,3,13,0,0,0,0,4,62.2,3,61.9,1,41.9,1,4.2,0,0,0,0,0,0
Feb-18,02-2018,SAC,41,63,0,0,0,0,4,3.641,3,4.71,3,373.16,1,165.86,0,0,0,0,0,0
Feb-18,02-2018,SATF,19,73,0,0,0,0,4,14.7,0,0,2,139.1,2,103.7,0,0,0,0,0,0
Feb-18,02-2018,SCC,45,69,0,0,0,0,0,0,3,18.1,2,123.5,6,3049.7,0,0,0,0,0,0
Feb-18,02-2018,SOL,35,60,0,0,0,0,2,1,4,1,1,0.6,6,449.9,1,0.6,0,0,0,0
Feb-18,02-2018,SQ,15,17,0,0,0,0,3,46.65,1,9.78,2,7.47,2,242.22,0,0,0,0,0,0
Feb-18,02-2018,SVSP,27,42,0,0,0,0,6,49.9,7,64.564,4,34.77,1,28.53,0,0,0,0,0,0
Feb-18,02-2018,VSP,7,13,0,0,0,0,0,0,0,0,1,0.68,1,1.56,0,0,0,0,0,0
Feb-18,02-2018,WSP,14,58,1,234.6,0,0,2,292.49,3,183.68,1,177.35,3,205.75,0,0,0,0,0,0
Mar-18,03-2018,ASP,3,5,0,0,0,0,1,0.3,0,0,3,99.27,1,103.6,0,0,0,0,0,0
Mar-18,03-2018,CAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,CAL,65,78,0,0,0,0,9,51.8,11,2084.64,1,0.5,2,1347.3,0,0,0,0,0,0
Mar-18,03-2018,CCC,50,63,0,0,0,0,0,0,5,595.4,3,0.5,1,250,1,0,0,0,0,0
Mar-18,03-2018,CCI,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,CCWF,3,4,0,0,0,0,3,6.7,0,0,3,58.4,0,0,0,0,0,0,0,0
Mar-18,03-2018,CEN,9,9,0,0,0,0,4,79.7,8,36.9,1,14.4,2,31.9,0,0,0,0,0,0
Mar-18,03-2018,CHCF,3,3,0,0,0,0,0,0,3,1.23,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,CIM,5,5,0,0,0,0,1,15,1,3.3,2,16.3,2,107.5,0,0,0,0,0,0
Mar-18,03-2018,CIW,18,20,0,0,0,0,4,17.56,1,0.3,4,53.9,2,16.4,0,0,0,0,0,0
Mar-18,03-2018,CMC,26,36,0,0,0,0,0,0,0,0,3,0.351,3,5000,0,0,0,0,0,0
Mar-18,03-2018,CMF,22,23,0,0,0,0,2,3.3,0,0,0,0,1,680,0,0,0,0,0,0
Mar-18,03-2018,COR,36,65,0,0,0,0,5,54.8,11,376.5,4,6.2,3,2300.3,0,0,0,0,0,0
Mar-18,03-2018,CRC,27,35,0,0,0,0,3,4.2,4,3.9,4,18.5,0,0,0,0,0,0,0,0
Mar-18,03-2018,CTF,17,17,0,0,0,0,2,0.74,1,4.13,2,0.55,1,58,0,0,0,0,0,0
